"date","close","volume","open","high","low"
"2018/01/02","1287.6970","0.0000","1261.0280","1287.7390","1258.7660"
"2017/12/29","1253.0480","0.0000","1267.4460","1268.6240","1253.0430"
"2017/12/28","1266.2980","0.0000","1268.7380","1269.2430","1264.1460"
"2017/12/27","1263.3640","0.0000","1259.8450","1269.2160","1258.6280"
"2017/12/26","1258.8820","0.0000","1256.0910","1259.7050","1248.4600"
"2017/12/22","1271.1670","0.0000","1268.9500","1272.1070","1263.0810"
"2017/12/21","1271.8110","0.0000","1286.4240","1287.2060","1270.5300"
"2017/12/20","1285.4370","0.0000","1289.3650","1291.3260","1274.6890"
"2017/12/19","1276.5190","0.0000","1277.0430","1281.0600","1269.8170"
"2017/12/18","1277.9110","0.0000","1262.8390","1278.3120","1259.7800"
"2017/12/15","1250.8870","0.0000","1234.5880","1254.6060","1231.9890"
"2017/12/14","1232.4260","0.0000","1235.4250","1240.3740","1229.3040"
"2017/12/13","1233.0420","0.0000","1238.5900","1244.5560","1232.6700"
"2017/12/12","1233.1840","0.0000","1240.6940","1241.6160","1232.2000"
"2017/12/11","1245.5770","0.0000","1238.5700","1248.8100","1236.7110"
"2017/12/08","1238.2450","0.0000","1255.4200","1259.6280","1237.2450"
"2017/12/07","1244.5170","0.0000","1243.7510","1248.4430","1236.6310"
"2017/12/06","1232.2640","0.0000","1217.2770","1234.2970","1211.4920"
"2017/12/05","1228.5140","0.0000","1221.2410","1251.3550","1213.5330"
"2017/12/04","1227.8530","0.0000","1268.1770","1268.6580","1220.6950"
"2017/12/01","1258.6530","0.0000","1262.6810","1265.4930","1227.3230"
"2017/11/30","1272.5520","0.0000","1274.9500","1284.8430","1263.5730"
"2017/11/29","1265.0140","0.0000","1319.9220","1320.8670","1252.3780"
"2017/11/28","1323.0830","0.0000","1326.2800","1326.4610","1316.1360"
"2017/11/27","1324.1550","0.0000","1329.5790","1331.4630","1322.2220"
"2017/11/24","1341.6920","0.0000","1333.5630","1342.0530","1333.0270"
"2017/11/22","1329.0980","0.0000","1339.6870","1340.4690","1327.0390"
